<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.16	12:00:00	1.29134	1.29269	1.29124	1.29196	4961	5734750000	9
2016.05.16	13:00:00	1.29197	1.29315	1.29102	1.29133	4793	3767669000	9
2016.05.16	14:00:00	1.29132	1.29179	1.29010	1.29174	5756	6024652000	9
2016.05.16	15:00:00	1.29174	1.29414	1.29056	1.29158	7695	7518367000	9
2016.05.16	16:00:00	1.29158	1.29184	1.28796	1.28924	9486	10046887000	9
2016.05.16	17:00:00	1.28921	1.29169	1.28745	1.28968	10296	12346814000	9
2016.05.16	18:00:00	1.28971	1.29009	1.28851	1.28867	7738	8791175000	9
2016.05.16	19:00:00	1.28866	1.28924	1.28833	1.28866	5678	8822899000	9
2016.05.16	20:00:00	1.28865	1.29085	1.28863	1.29013	5419	8053800000	9
2016.05.16	21:00:00	1.29013	1.29035	1.28918	1.28968	7082	9557800000	9
2016.05.16	22:00:00	1.28968	1.29016	1.28898	1.28961	4709	6075000000	9
2016.05.16	23:00:00	1.28961	1.29072	1.28937	1.28942	2657	2749250000	9
2016.05.17	00:00:00	1.28916	1.28965	1.28871	1.28938	2184	1856250000	0
2016.05.17	01:00:00	1.28937	1.28980	1.28906	1.28954	1350	992050000	12
2016.05.17	02:00:00	1.28955	1.29034	1.28897	1.28999	1292	1172650000	9
2016.05.17	03:00:00	1.28999	1.29110	1.28974	1.29070	2559	2644250000	9
2016.05.17	04:00:00	1.29071	1.29107	1.28827	1.28877	3840	4217500000	9
2016.05.17	05:00:00	1.28878	1.28911	1.28451	1.28451	3426	3779450000	9
2016.05.17	06:00:00	1.28450	1.28589	1.28438	1.28535	2515	3043300000	9
2016.05.17	07:00:00	1.28535	1.28572	1.28524	1.28535	1713	2031690000	12
2016.05.17	08:00:00	1.28535	1.28587	1.28535	1.28586	2748	2552840000	9
2016.05.17	09:00:00	1.28586	1.28653	1.28367	1.28425	5935	7092278000	9
2016.05.17	10:00:00	1.28425	1.28657	1.28418	1.28624	6999	7773788000	9
2016.05.17	11:00:00	1.28623	1.29016	1.28581	1.28984	7783	9523598000	9
2016.05.17	12:00:00	1.28984	1.29264	1.28981	1.29065	6847	8185860000	9
